Id_Comuna;Nombre_Comuna;Superficie;Poblacion;Id_Region
15101;Arica;4799.4;247552;15
15102;Camarones;3927;1233;15
15201;Putre;5902.5;2515;15
15202;General Lagos;2244.4;810;15
1101;Iquique;2242.1;223463;1
1107;Alto Hospicio;572.9;129999;1
1401;Pozo Almonte;13765.8;17395;1
1402;Camiña;2200.2;1375;1
1403;Colchane;4015.6;1583;1
1404;Huara;10474.6;3000;1
1405;Pica;8934.3;5958;1
2101;Antofagasta;30718.1;425725;2
2102;Mejillones;3803.9;14776;2
2103;Sierra Gorda;12886;1746;2
2104;Taltal;20405.1;13657;2
2201;Calama;15596.9;190336;2
2202;Ollagüe;2964;287;2
2203;San Pedro de Atacama;23439;10434;2
2301;Tocopilla;4038.8;28079;2
2302;Maria Elena;12197;6814;2
3101;Copiapo;16681.3;171766;2
3102;Caldera;4666.6;19426;2
3103;Tierra Amarilla;11191;14312;2
3201;Chanaral;5772;13164;2
3202;Diego de Almagro;18664;14358;2
3301;Vallenar;7084;57009;2
3302;Alto del Carmen;5939;5729;2
3303;Freirina;3207.9;7681;2
3304;Huasco;1601.4;11264;2
4101;La Serena;1892.8;249656;4
4102;Coquimbo;1429;256735;4
4103;Andacollo;310;11791;4
4104;La Higuera;4158.2;4450;4
4105;Paihuano;1495;4675;4
4106;Vicuna;7610;29741;4
4201;Illapel;2629;32801;4
4202;Canela;2196.6;9546;4
4203;Los Vilos;1823.8;23374;4
4204;Salamanca;3445;29110;4
4301;Ovalle;3835;121269;4
4302;Combarbala;2257.5;13884;4
4303;Monte Patria;4366.9;32527;4
4304;Punitaqui;1339;12165;4
4305;Rio Hurtado;2180;4372;4
5101;Valparaiso;401.6;315732;5
5102;Casablanca;953;29170;5
5103;Concon;76;45889;5
5104;Juan Fernandez;149.4;1033;5
5105;Puchuncavi;300;20071;5
5107;Quintero;148;36135;5
5109;Vina del Mar;121.6;361371;5
5201;Isla de Pascua;163.6;8277;5
5301;Los Andes;1248;68093;5
5302;Calle Larga;321.7;16482;5
5303;Rinconada;122.5;11263;5
5304;San Esteban;681;20643;5
