Id_comuna;Id_comisaria;Nombre_comisaria;DirecciÛn;Fono;;Tipo;;;;;
15101;;5TA COMISARIA CONTROL ORDEN PUBLICO;18 DE SEPTIEMBRE N∫ 960;58-2458169;;COMISARIA;;;;;
15101;;4A. COMISARÕA CHACALLUTA;RUTA 5 NORTE KM 2086;58 - 2458200;;COMISARIA;;;;;
15101;;3A. COMISARIA ARICA;AVENIDA LOA N 1475;58 - 2458132;;COMISARIA;;;;;
15101;;1A. COMISARIA ARICA;AVENIDA SANTA MAR√çA N¬∞ 900;58 - 2458082;;COMISARIA;;;;;
15101;;SUBCOMISARÕA I.A.T. ARICA;DIECIOCHO DE SEPTIEMBRE N∞ 1960;58 - 2458050;;SUBCOMISARIA;;;;;
15101;;SUBCOMISARÕA CHINCHORRO NORTE;CALLE ANDALIEN N¬∞ 837;58 - 2452157;;SUBCOMISARIA;;;;;
15101;;RETEN SAN MIGUEL DE AZAPA;RUTA A-27 KM 12;58 - 2458164;;RETEN;;;;;
15101;;RETEN POCONCHILE (F);RUTA CH-11 KM 27;58 - 2458153;;RETEN;;;;;
15101;;RETEN CENTRAL (F);VEINTIUNO DE MAYO S/N;58 - 2458154;;RETEN;;;;;
15102;;RETEN CODPA;RUTA A-35 KM. 47;58 - 2458163;;RETEN;;;;;
15102;;TENENCIA CARRETERA ARICA;RUTA 5 NORTE KM 1968;58 - 2458166;;TENENCIA;;;;;
15201;;2A. COMISARIA PUTRE;ERNESTO RIQUELME N¬∞ 298;58 - 2458101;;COMISARIA;;;;;
15201;;TENENCIA CHUNGARA (F);RUTA CH-11 KM 185;58 - 2458122;;TENENCIA;;;;;
15201;;RETEN CHUCUYO (F);RUTA CH-11 KM 159;58 - 2458126;;RETEN;;;;;
15201;;RETEN CHAPIQUINA;RUTA A-31, KM 150.600;58 - 2458116;;RETEN;;;;;
15201;;RETEN GUALLATIRE (F);RUTA A-95 KM. 137;58 - 2458127;;RETEN;;;;;
15202;;TENENCIA VISVIRI (F);RUTA A-093 KM. 92;58 - 2458118;;TENENCIA;;;;;
15202;;RETEN TACORA (F);RUTA A-023 KM. 70;58 - 2458120;;RETEN;;;;;
15202;;RETEN ALCERRECA (F);AV. GOBERNADOR COBO S/N;58 - 2458121;;RETEN;;;;;
1101;;5TA COMISARIA CONTROL ORDEN PUBLICO;CALLE PEDRO LAGOS NRO. 1034;572-557108;;COMISARIA;;;;;
1101;;1A. COMISARÕA DE IQUIQUE;CALLE BERNARDO O HIGGINS N 427;57 - 2 557041;;COMISARIA;;;;;
1101;;4A. COMISARÕA CAVANCHA;AVDA. SALVADOR ALLENDE S/N ESQUINA PEDRO GAMBONI;57 2557301;;COMISARIA;;;;;
1101;;TENENCIA DE CARRETERAS IQUIQUE;RUTA 5 NORTE 1840, Huara;57 - 2557142;;TENENCIA;;;;;
1101;;RETEN CHANAVAYITA (M.C.);RUTA 1, ESTRELLA DEL MAR, MANZANA 2, SITIO 3 S/N;57 - 2557070;;RETEN;;;;;
1101;;RETEN RIO LOA M.A.;RUTA A 1 KIL”METRO 266;57 - 2 557114;;RETEN;;;;;
1107;;3A. COMISARÕA DE ALTO HOSPICIO;AVDA. TENIENTE HERNAN MERINO CORREA N 3961;57 - 2 557156;;COMISARIA;;;;;
1401;;2A. COMISARÕA POZO ALMONTE;CALLE COMERCIO N 652;57- 2 557118;;COMISARIA;;;;;
1401;;SUBCOMISARÕA I.A.T. IQUIQUE;CALLE JOS… DE SAN MARTÕN N∞ 499;57 - 2 557081;;SUBCOMISARIA;;;;;
1401;;RETEN LA TIRANA;AV. CIRCUNVALACI”N N∞ 751;57 - 2557134;;RETEN;;;;;
1401;;RETEN MAMINA;AV. EL TAMBO S/N;57 - 2 557132;;RETEN;;;;;
1402;;RETEN CAMINA;ARTURO PRAT S/N;57 - 2 557137;;RETEN;;;;;
1403;;SUBCOMISARÕA COLCHANE (F);TENIENTE GONZALEZ S/N;57 - 2 557149;;SUBCOMISARIA;;;;;
1404;;TENENCIA HUARA M/C;RUTA 5 NORTE KM. 1839;57 - 2 557142;;TENENCIA;;;;;
1404;;RETEN PISAGUA;CALLE ESMERALDA N∞ 1620;57 - 2 557133;;RETEN;;;;;
1405;;TENENCIA PICA;VEINTISIETE DE ABRIL S/N, PICA;57 - 2 557139;;TENENCIA;;;;;
2101;;5A. COMISARÕA LA PORTADA;RICA AVENTURA NRO. 11.955, ANTOFAGASTA.;55 2755296;;COMISARIA;;;;;
2101;;2A. COMISARÕA ANTOFAGASTA;AVENIDA RENDIC NÔøΩ 6000;55 - 2 755108;;COMISARIA;;;;;
2101;;3A. COMISARÕA DE ANTOFAGASTA;CALLE SAN MARTIN No. 2452;55 - 2 755139;;COMISARIA;;;;;
2101;;SUBCOMISARÕA ANTOFAGASTA NORTE;CALLE SALAMANCA S/N;55 - 2 755125;;SUBCOMISARIA;;;;;
2101;;SUBCOMISARÕA PLAYA BLANCA;REPUBLICA DE CROACIA No. 1100;55 - 2 755285;;SUBCOMISARIA;;;;;
2102;;TENENCIA MEJILLONES;SALAMANCA S/N;55 - 2 755132;;TENENCIA;;;;;
2103;;TENENCIA CARRETERA BAQUEDANO;SALVADOR ALLENDE N∞ 502;55 - 2 755170;;TENENCIA;;;;;
2103;;RETEN SIERRA GORDA;AV. SALVADOR ALLENDE N∞ 200;55 - 2 755137;;RETEN;;;;;
2104;;1A. COMISARÕA TALTAL;Sargento Aldea NÔøΩ 502;55 - 2 755087;;COMISARIA;;;;;
2104;;RETEN ALEMANIA (M.C.);RUTA 5 NORTE N∞ 1144;55 - 2755105;;RETEN;;;;;
2201;;1A. COMISARÕA DE CALAMA;Avenida GRANADEROS NÔøΩ 2490;55 - 2755233;;COMISARIA;;;;;
2201;;RETEN TOCONCE (F);GABRIELA MISTRAL S/N;55 - 2 755275;;RETEN;;;;;
2201;;RETEN INACALIRI (F);RUTA B-143, KILOMETRO 7, SECTOR INACALIRI;55 - 2 755274;;RETEN;;;;;
2202;;TENENCIA OLLAG‹E (F);CHILE N∞ 30;55 - 2 755278;;TENENCIA;;;;;
2202;;RETEN ASCOTAN (F);RUTA CH-21 KM 121;55 - 2 755280;;RETEN;;;;;
2203;;2A. COMISARÕA DE SAN PEDRO DE ATACAMA (F);GUSTAVO LEPEIGE N∞ 304;55 - 2 755350;;COMISARIA;;;;;
2203;;RETEN TOCORPURI (F);RUTA B-245;55-2755365;;RETEN;;;;;
2203;;RETEN TOCONAO (F);AVENIDA NORTE N∞ 55;55 - 2 755276;;RETEN;;;;;
2203;;RETEN SOCAIRE (T. F.);RUTA 23 CH KIL”METRO 287.;55-755295;;RETEN;;;;;
2301;;4A. COMISARÕA DE TOCOPILLA;21 DE MAYO NÔøΩ 1666;55 - 2 755174;;COMISARIA;;;;;
2302;;TENENCIA MARIA ELENA (M.C);PEDRO MONTT S/N;55 - 2 755194;;TENENCIA;;;;;
3101;;PREFECTURA DE CARABINEROS ATACAMA N 5;LIBERTADOR BERNARDO OHIGGINS N 753;52 - 2552014;;PREFECTURA;;;;;
3101;;TENENCIA CARRETERA ATACAMA NORTE;RUTA 5 NORTE KM 486;52 - 2 552118;;TENENCIA;;;;;
3101;;SUBCOMISARÕA PEDRO LEON GALLO;LOS LOROS N∞ 1850;52 - 2 552165;;SUBCOMISARIA;;;;;
3101;;SUBCOMISARIA (C.O.P);AVDA. COPAYAPU 3302;522552160;;SUBCOMISARIA;;;;;
3101;;RETEN PAIPOTE;PEDRO AGUIRRE CERDA S/N;52 - 2 552121;;RETEN;;;;;
